time,lon,lag,mag
1388583253000,-165.3613,53.6878,2.4
1388582765000,-175.2662,51.2581,1.9
1388582155830,-122.3721667,38.7076667,0.93
1388581524000,-150.2994,62.0811,2.1
1388581398840,-86.7714,11.0273,4.6
1388580024670,-122.69,38.7495,0.43
1388578712700,-117.868,36.0838333,0.38
1388578416050,145.2333,19.368,4.1
1388578351230,-122.815,38.8011667,1.25
1388578276740,-112.409,36.839,1.79
1388578116300,-112.8475,44.4451,1.4
1388577715730,-117.8653333,36.1025,0.75
1388577684900,-122.6526667,46.1491667,0.43
1388577145940,-122.805,38.8255,0.27
1388576031500,-117.7401667,35.9395,0.16
1388575864000,-122.7528305,38.7859993,0.87
1388575479050,127.9629,-7.6919,4.2
1388575475910,-116.8258333,33.9976667,0.26
1388575103020,126.1909,1.031,4.1
1388574570000,-141.0216,61.56,1.8
1388574521610,-68.0824,-21.3022,4
1388574489850,-82.0262,-44.4548,4.6
1388573727410,-27.6253,-56.1218,4.4
1388573493610,-122.9906667,38.9413333,1.14
1388573081000,-150.3542,62.972,1.4
1388573068000,-165.1454,53.4979,2.5
1388573042038,-118.4256,38.5331,0
1388572837840,-116.64,33.9403333,0.72
1388572206850,-110.7243333,44.5945,1.28
1388572171700,-119.028,37.6355,0.1
1388572006010,-110.7146667,44.6031667,1.79
1388571703897,-119.7513,40.3171,-0.3
1388571662910,-179.688,51.053,2.6
1388571047900,95.1453,4.6918,4
1388570780000,-150.7018,62.0148,1.3
1388570389520,-175.278,51.262,2.9
1388570195650,-122.7971667,38.8093333,1.99
1388569991350,-122.8410034,38.8413315,0.55
1388569943910,-117.8335,33.8006667,1.36
1388569821950,-122.8028336,38.8250008,0.73
1388569194000,-149.0514,63.3313,1.6
1388568601000,-151.4388,61.8232,2.1
1388568439300,-67.7055,19.054,3.2
1388568407000,-150.0946,62.6472,1.7
1388568362680,-118.0621667,36.13,0.49
1388568026976,-119.6578,40.0981,-0.7
1388567841120,-162.287,54.499,2.6
1388567181460,-112.7375,41.7976667,2.11
1388567172530,-122.8273315,38.8173332,0.9
1388567034500,-178.148,51.476,2.5
1388566212793,-118.8525,38.0906,1.1
1388566128760,-122.7978333,38.8253333,1.3
1388565873540,-122.8031667,38.8271667,0.23
1388565497530,-122.3998333,38.6713333,1.85
1388565330890,-122.798,38.8246667,1.58
1388565293750,-116.8005,33.9708333,1.11
1388565256334,-119.8596,39.6388,0.5
1388565167630,-116.7256667,33.7155,0.49
1388564570340,-119.0028333,37.6016667,0.12
1388563128970,-122.8168335,38.8294983,0.56
1388562861267,-119.6272,39.1677,0.7
1388562836380,-177.919,-18.4394,4.6
1388562738550,-116.377,33.3261667,0.39
1388562376480,-122.8098297,38.8378334,0.07
1388562256370,-122.8201675,38.8143349,0.18
1388561401920,-116.719,33.6318333,0.47
1388561383900,-122.8121643,38.8404999,0.9
1388559926722,-120.1771,39.3978,-0.8
1388559865910,-123.4368333,39.697,1.2
1388559844190,137.5205,41.9117,4.9
1388559577970,-121.2178333,36.6035,0.76
1388559559450,-122.7916667,38.8233333,0.31
1388558892070,-122.8028336,38.8263321,0.55
1388557813580,-116.7185,33.3561667,0.72
1388557466830,-122.3795,38.0311667,0.73
1388557287480,-122.7624969,38.7901649,0.52
1388557153542,-120.2914,39.4263,-0.8
1388557035340,37.4119,-44.617,4.3
1388556513500,54.314,28.58,4
1388556488800,-116.8913333,34.0183333,0.79
1388555952950,-116.4015,33.386,1.36
1388555870070,-122.8031693,38.8193321,0.9
1388555753800,-122.975,38.8676667,1.12
1388555729320,-118.0681667,36.1335,1.05
1388555603870,-116.676,33.964,0.89
1388555333370,-71.3698,-28.4669,4.5
1388555330207,-120.2838,39.4279,-0.9
1388555243490,-111.4801667,39.0091667,1.47
1388553912520,-116.9013333,34.3655,1.25
1388553869800,-116.8288333,33.7103333,0.64
1388553834171,-120.2826,39.4344,-0.4
1388553610990,-120.6238333,36.044,0.37
1388553593660,-120.6651667,36.0626667,0.66
1388553477800,-116.2934,36.7333,-0.1
1388553314040,-118.0658333,36.1303333,0.59
1388553198000,-150.2673,62.9677,2.1
1388553009000,-116.8355,33.7053333,1.23
1388552834160,-122.7395,38.81,1.34
1388552214678,-116.7354,36.8932,-0.5
1388551588090,-15.456,-44.6449,4.7
1388549996180,-112.529,42.1301667,2.92
1388549939080,-123.622,40.2976667,2.12
1388549890770,139.4782,33.0833,4.1
1388549886610,126.7562,3.4262,4.1
1388549800700,-122.8069992,38.824501,0.89
1388549563750,-122.376,47.5521667,1.03
